bucket_name,entropy
R_1_E_0_S_0_B_0,11.731688499450684
R_1_E_0_S_1_B_0,11.110627174377441
R_1_E_0_S_1_B_1,11.207857131958008
R_1_E_0_S_1_B_2,11.275812149047852
R_1_E_0_S_1_B_3,11.1207914352417
R_1_E_0_S_1_B_4,10.948334693908691
R_1_E_0_S_1_B_5,10.961710929870605
R_1_E_0_S_1_B_6,11.05126953125
R_1_E_0_S_1_B_7,10.999595642089844
R_1_E_0_S_1_B_8,10.906383514404297
R_1_E_0_S_1_B_9,10.930521011352539
R_1_E_0_S_1_B_10,11.023618698120117
R_1_E_0_S_1_B_11,11.067787170410156
R_1_E_0_S_1_B_12,10.836289405822754
R_1_E_0_S_1_B_13,10.8341703414917
R_1_E_0_S_1_B_14,10.941783905029297
R_1_E_0_S_1_B_15,11.195878028869629
R_1_E_0_S_1_B_16,10.809514999389648
R_1_E_0_S_1_B_17,10.819192886352539
R_1_E_0_S_1_B_18,10.886178970336914
R_1_E_0_S_1_B_19,11.250629425048828
R_1_E_0_S_1_B_20,10.815407752990723
R_1_E_0_S_1_B_21,10.836874008178711
R_1_E_0_S_1_B_22,10.929864883422852
R_1_E_0_S_1_B_23,11.032663345336914
R_1_E_0_S_1_B_24,10.79229736328125
R_1_E_0_S_1_B_25,10.804847717285156
R_1_E_0_S_1_B_26,10.909282684326172
R_1_E_0_S_1_B_27,11.058279037475586
R_1_E_0_S_1_B_28,10.778769493103027
R_1_E_0_S_1_B_29,10.764625549316406
R_1_E_0_S_1_B_30,10.902597427368164
R_1_E_0_S_1_B_31,11.207362174987793
R_1_E_0_S_1_B_32,10.747049331665039
R_1_E_0_S_1_B_33,10.745030403137207
R_1_E_0_S_1_B_34,10.889320373535156
R_1_E_0_S_1_B_35,10.973909378051758
R_1_E_0_S_1_B_36,10.72463321685791
R_1_E_0_S_1_B_37,10.734038352966309
R_1_E_0_S_1_B_38,10.86534309387207
R_1_E_0_S_1_B_39,10.979818344116211
R_1_E_0_S_1_B_40,10.721673011779785
R_1_E_0_S_1_B_41,10.726253509521484
R_1_E_0_S_1_B_42,10.888387680053711
R_1_E_0_S_1_B_43,11.08310604095459
R_1_E_0_S_1_B_44,10.6954984664917
R_1_E_0_S_1_B_45,10.68868637084961
R_1_E_0_S_1_B_46,10.867847442626953
R_1_E_0_S_1_B_47,11.029329299926758
R_1_E_0_S_1_B_48,10.685541152954102
R_1_E_0_S_1_B_49,10.690332412719727
R_1_E_0_S_1_B_50,10.852254867553711
R_1_E_0_S_1_B_51,10.964761734008789
R_1_E_0_S_1_B_52,10.687926292419434
R_1_E_0_S_1_B_53,10.67632007598877
R_1_E_0_S_1_B_54,10.853227615356445
R_1_E_0_S_1_B_55,11.006549835205078
R_1_E_0_S_1_B_56,10.702776908874512
R_1_E_0_S_1_B_57,10.70528793334961
R_1_E_0_S_1_B_58,10.877799987792969
R_1_E_0_S_1_B_59,11.064654350280762
R_1_E_0_S_1_B_60,10.713663101196289
R_1_E_0_S_1_B_61,10.698144912719727
R_1_E_0_S_1_B_62,10.878927230834961
R_1_E_0_S_1_B_63,10.990543365478516
R_1_E_0_S_1_B_64,10.748008728027344
R_1_E_0_S_1_B_65,10.746448516845703
R_1_E_0_S_1_B_66,10.928506851196289
R_1_E_0_S_1_B_67,11.164358139038086
R_1_E_0_S_1_B_68,10.74220085144043
R_1_E_0_S_1_B_69,10.746194839477539
R_1_E_0_S_1_B_70,10.909311294555664
R_1_E_0_S_1_B_71,11.050531387329102
R_1_E_0_S_1_B_72,10.738580703735352
R_1_E_0_S_1_B_73,10.748619079589844
R_1_E_0_S_1_B_74,10.931540489196777
R_1_E_0_S_1_B_75,11.074614524841309
R_1_E_0_S_1_B_76,10.697698593139648
R_1_E_0_S_1_B_77,10.686872482299805
R_1_E_0_S_1_B_78,10.813596725463867
R_1_E_0_S_1_B_79,11.065886497497559
R_1_E_0_S_1_B_80,10.678583145141602
R_1_E_0_S_1_B_81,10.670653343200684
R_1_E_0_S_1_B_82,10.819709777832031
R_1_E_0_S_1_B_83,11.010638236999512
R_1_E_0_S_1_B_84,10.69145393371582
R_1_E_0_S_1_B_85,10.686281204223633
R_1_E_0_S_1_B_86,10.84290885925293
R_1_E_0_S_1_B_87,11.08633041381836
R_1_E_0_S_1_B_88,10.752784729003906
R_1_E_0_S_1_B_89,10.73697566986084
R_1_E_0_S_1_B_90,10.915952682495117
R_1_E_0_S_1_B_91,11.099675178527832
R_1_E_0_S_1_B_92,10.693917274475098
R_1_E_0_S_1_B_93,10.685823440551758
R_1_E_0_S_1_B_94,10.840810775756836
R_1_E_0_S_1_B_95,11.018695831298828
R_1_E_0_S_1_B_96,10.677043914794922
R_1_E_0_S_1_B_97,10.667383193969727
R_1_E_0_S_1_B_98,10.818864822387695
R_1_E_0_S_1_B_99,11.078330039978027
R_1_E_0_S_1_B_100,10.67143440246582
R_1_E_0_S_1_B_101,10.654692649841309
R_1_E_0_S_1_B_102,10.825977325439453
R_1_E_0_S_1_B_103,10.91574764251709
R_1_E_0_S_1_B_104,10.709824562072754
R_1_E_0_S_1_B_105,10.700051307678223
R_1_E_0_S_1_B_106,10.867077827453613
